full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,price_doc
63,60.0,12.0,,,,,,,Investment,Severnoe Medvedkovo,10011000
50,29.0,9.0,,,,,,,Investment,Strogino,1000000
51,50.0,16.0,,,,,,,Investment,Donskoe,7100000
76,45.0,11.0,,,,,,,Investment,Rostokino,2000000
45,30.0,6.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,6600000
32,19.0,9.0,,,,,,,Investment,Bibirevo,5300000
64,28.0,10.0,,,,,,,Investment,Ochakovo-Matveevskoe,2630000
66,17.0,2.0,,,,,,,Investment,Taganskoe,2600000
38,19.0,8.0,,,,,,,Investment,Dmitrovskoe,4550000
37,22.0,6.0,,,,,,,Investment,Donskoe,7400000
46,28.0,3.0,,,,,,,Investment,Vyhino-Zhulebino,5300000
74,46.0,17.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,8900000
30,17.0,7.0,,,,,,,Investment,Kuz'minki,4950000
53,30.0,13.0,,,,,,,Investment,Teplyj Stan,7800000
133,64.0,2.0,,,,,,,Investment,Izmajlovo,17600000
47,31.0,1.0,,,,,,,Investment,Gol'janovo,1000000
50,30.0,9.0,,,,,,,Investment,Juzhnoe Butovo,990000
34,19.0,8.0,,,,,,,Investment,Hovrino,1000000
66,42.0,7.0,,,,,,,Investment,Basmannoe,990000
63,33.0,2.0,,,,,,,Investment,Juzhnoe Butovo,9000000
43,21.0,7.0,,,,,,,Investment,Babushkinskoe,6700000
45,44.0,5.0,,,,,,,Investment,Bogorodskoe,990000
34,20.0,7.0,,,,,,,Investment,Staroe Krjukovo,4000000
43,28.0,9.0,,,,,,,Investment,Pokrovskoe Streshnevo,4450000
76,74.0,7.0,,,,,,,Investment,Kon'kovo,12500000
32,19.0,8.0,,,,,,,Investment,Obruchevskoe,3775000
50,30.0,5.0,,,,,,,Investment,Filevskij Park,9500000
32,18.0,8.0,,,,,,,Investment,Troparevo-Nikulino,990000
72,45.0,1.0,,,,,,,Investment,Severnoe Butovo,7000000
45,30.0,3.0,,,,,,,Investment,Otradnoe,6504000
54,37.0,4.0,,,,,,,Investment,Hamovniki,12900000
30,18.0,1.0,,,,,,,Investment,Juzhnoe Tushino,500000
39,18.0,8.0,,,,,,,Investment,Moskvorech'e-Saburovo,9500000
51,30.0,15.0,,,,,,,Investment,Solncevo,7100000
74,45.0,7.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,990000
41,25.0,5.0,,,,,,,Investment,Tekstil'shhiki,5350000
37,16.0,9.0,,,,,,,Investment,Dorogomilovo,8600000
44,28.0,4.0,,,,,,,Investment,Bibirevo,5950000
38,34.0,3.0,,,,,,,Investment,Severnoe Medvedkovo,2900000
26,1.0,6.0,,,,,,,Investment,Timirjazevskoe,4146000
34,19.0,9.0,,,,,,,Investment,Bogorodskoe,5200000
52,30.0,1.0,,,,,,,Investment,Lianozovo,6300000
74,43.0,14.0,,,,,,,Investment,Zapadnoe Degunino,1000000
46,27.0,14.0,,,,,,,Investment,Izmajlovo,7200000
77,40.0,15.0,,,,,,,Investment,Hovrino,13800000
44,20.0,8.0,,,,,,,Investment,Pechatniki,6200000
54,31.0,1.0,,,,,,,Investment,Bogorodskoe,6800000
74,72.0,8.0,,,,,,,Investment,Krjukovo,7200000
46,28.0,4.0,,,,,,,Investment,Lefortovo,6350000
32,19.0,8.0,,,,,,,Investment,Gol'janovo,4750000
50,30.0,8.0,,,,,,,Investment,Dmitrovskoe,6100000
58,43.0,4.0,,,,,,,Investment,Jasenevo,8100000
54,32.0,15.0,,,,,,,Investment,Novo-Peredelkino,6800000
32,17.0,3.0,,,,,,,Investment,Chertanovo Severnoe,4650000
78,47.0,6.0,,,,,,,Investment,Rjazanskij,5759000
51,31.0,12.0,,,,,,,Investment,Vyhino-Zhulebino,990000
36,34.0,2.0,,,,,,,Investment,Lianozovo,2000000
57,33.0,2.0,,,,,,,Investment,Silino,6100000
39,20.0,8.0,,,,,,,Investment,Ochakovo-Matveevskoe,1200000
61,42.0,1.0,,,,,,,Investment,Hamovniki,11000000
52,30.0,5.0,,,,,,,Investment,Bogorodskoe,7950000
48,31.0,5.0,,,,,,,Investment,Donskoe,8000000
39,21.0,6.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,4950000
325,325.0,7.0,,,,,,,Investment,Ivanovskoe,5000000
51,31.0,15.0,,,,,,,Investment,Lefortovo,8300000
33,32.0,5.0,,,,,,,Investment,Golovinskoe,4800000
40,20.0,3.0,,,,,,,Investment,Ivanovskoe,4850000
47,29.0,3.0,,,,,,,Investment,Otradnoe,2000000
37,19.0,1.0,,,,,,,Investment,Obruchevskoe,5900000
44,27.0,4.0,,,,,,,Investment,Kon'kovo,6000000
32,20.0,2.0,,,,,,,Investment,Lefortovo,4700000
53,32.0,1.0,,,,,,,Investment,Novokosino,6100000
55,35.0,3.0,,,,,,,Investment,Bogorodskoe,7450000
51,28.0,3.0,,,,,,,Investment,Taganskoe,5000000
32,19.0,7.0,,,,,,,Investment,Nagatino-Sadovniki,4750000
22,14.0,9.0,,,,,,,Investment,Dmitrovskoe,3500000
36,17.0,10.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,2000000
44,27.0,1.0,,,,,,,Investment,Severnoe Medvedkovo,6000000
62,34.0,7.0,,,,,,,Investment,Izmajlovo,1000000
43,27.0,7.0,,,,,,,Investment,Birjulevo Vostochnoe,1500000
51,30.0,3.0,,,,,,,Investment,Severnoe Izmajlovo,8150000
102,64.0,11.0,,,,,,,Investment,Sokolinaja Gora,4600000
117,108.0,20.0,,,,,,,OwnerOccupier,Nagatino-Sadovniki,14103600
31,20.0,1.0,,,,,,,Investment,Nagatinskij Zaton,5600000
59,42.0,9.0,,,,,,,Investment,Vostochnoe Degunino,6200000
30,18.0,3.0,,,,,,,Investment,Ljublino,4450000
54,32.0,13.0,,,,,,,Investment,Novo-Peredelkino,7050000
46,22.0,11.0,,,,,,,Investment,Chertanovo Central'noe,1000000
39,22.0,18.0,,,,,,,Investment,Prospekt Vernadskogo,6800000
38,18.0,2.0,,,,,,,Investment,Savelki,1000000
59,38.0,2.0,,,,,,,Investment,Dmitrovskoe,6450000
44,29.0,4.0,,,,,,,Investment,Ajeroport,6900000
54,35.0,5.0,,,,,,,Investment,Vojkovskoe,7000000
60,42.0,2.0,,,,,,,Investment,Ochakovo-Matveevskoe,7500000
34,19.0,3.0,,,,,,,Investment,Solncevo,5200000
86,50.0,18.0,,,,,,,Investment,Mar'ino,10800000
36,19.0,8.0,,,,,,,Investment,Beskudnikovskoe,5250000
74,45.0,11.0,,,,,,,Investment,Juzhnoe Butovo,9850000
39,21.0,6.0,,,,,,,Investment,Severnoe Butovo,5700000
85,54.0,9.0,,,,,,,Investment,Savelki,1000000
36,19.0,11.0,,,,,,,Investment,Moskvorech'e-Saburovo,2000000
44,28.0,7.0,,,,,,,Investment,Vostochnoe Degunino,5550000
38,20.0,12.0,,,,,,,Investment,Juzhnoe Butovo,3000000
47,31.0,3.0,,,,,,,Investment,Ochakovo-Matveevskoe,6500000
42,26.0,4.0,,,,,,,Investment,Nagatinskij Zaton,6400000
115,60.0,7.0,,,,,,,Investment,Krylatskoe,37000000
32,18.0,1.0,,,,,,,Investment,Pechatniki,4450000
30,18.0,8.0,,,,,,,Investment,Juzhnoportovoe,5000000
37,22.0,4.0,,,,,,,Investment,Bogorodskoe,6000000
44,30.0,3.0,,,,,,,Investment,Kuz'minki,5600000
35,22.0,5.0,,,,,,,Investment,Birjulevo Vostochnoe,4300000
30,18.0,3.0,,,,,,,Investment,Danilovskoe,4400000
78,74.0,3.0,,,,,,,Investment,Hovrino,11900000
98,94.0,,,,,,,,Investment,Kurkino,11500000
32,21.0,7.0,,,,,,,Investment,Perovo,5050000
80,48.0,11.0,,,,,,,Investment,Mar'ino,2000000
68,47.0,2.0,,,,,,,Investment,Akademicheskoe,10239000
38,20.0,2.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,4950000
38,19.0,7.0,,,,,,,Investment,Brateevo,5300000
43,27.0,6.0,,,,,,,Investment,Horoshevo-Mnevniki,1000000
98,55.0,12.0,,,,,,,Investment,Otradnoe,18000000
31,20.0,2.0,,,,,,,Investment,Kuz'minki,1200000
49,29.0,,,,,,,,Investment,Nagatinskij Zaton,8300000
38,19.0,15.0,,,,,,,Investment,Ivanovskoe,5500000
37,19.0,10.0,,,,,,,Investment,Ochakovo-Matveevskoe,6150000
104,64.0,7.0,,,,,,,Investment,Shhukino,4210429
45,28.0,5.0,,,,,,,Investment,Gol'janovo,5500000
33,19.0,9.0,,,,,,,Investment,Hovrino,1000000
39,39.0,10.0,,,,,,,Investment,Vostochnoe Izmajlovo,5000000
53,52.0,7.0,,,,,,,Investment,Mitino,1000000
37,23.0,,,,,,,,Investment,Nagatinskij Zaton,2000000
36,20.0,5.0,,,,,,,Investment,Basmannoe,6500000
54,38.0,3.0,,,,,,,Investment,Juzhnoe Tushino,7200000
54,35.0,2.0,,,,,,,Investment,Kapotnja,6700000
102,64.0,8.0,,,,,,,Investment,Fili Davydkovo,18100000
38,19.0,15.0,,,,,,,Investment,Horoshevskoe,7150000
33,14.0,8.0,,,,,,,Investment,Juzhnoe Butovo,5700000
30,18.0,3.0,,,,,,,Investment,Marfino,4050000
76,51.0,2.0,,,,,,,Investment,Juzhnoportovoe,10600000
44,29.0,8.0,,,,,,,Investment,Vostochnoe Izmajlovo,5500000
35,21.0,5.0,,,,,,,Investment,Lefortovo,5750000
72,45.0,10.0,,,,,,,Investment,Krylatskoe,13500000
32,18.0,6.0,,,,,,,Investment,Chertanovo Juzhnoe,4850000
84,43.0,21.0,,,,,,,Investment,Silino,7700000
45,26.0,5.0,,,,,,,Investment,Chertanovo Juzhnoe,2000000
42,19.0,8.0,,,,,,,Investment,Obruchevskoe,1000000
38,20.0,5.0,,,,,,,Investment,Juzhnoe Tushino,6197000
37,23.0,7.0,,,,,,,Investment,Savelovskoe,6200000
54,32.0,15.0,,,,,,,Investment,Jasenevo,8590000
43,28.0,2.0,,,,,,,Investment,Juzhnoe Tushino,3600000
45,27.0,,,,,,,,Investment,Chertanovo Juzhnoe,2825000
60,32.0,16.0,,,,,,,Investment,Obruchevskoe,360000
50,28.0,14.0,,,,,,,Investment,Fili Davydkovo,9200000
17,13.0,4.0,,,,,,,Investment,Severnoe Izmajlovo,3670000
58,31.0,5.0,,,,,,,Investment,Filevskij Park,990000
58,38.0,8.0,,,,,,,Investment,Danilovskoe,9200000
38,19.0,5.0,,,,,,,Investment,Severnoe Medvedkovo,6120000
93,54.0,5.0,,,,,,,Investment,Kurkino,11640000
45,32.0,4.0,,,,,,,Investment,Birjulevo Zapadnoe,1000000
32,17.0,3.0,,,,,,,Investment,Danilovskoe,5700000
57,43.0,1.0,,,,,,,Investment,Severnoe Tushino,6800000
37,19.0,16.0,,,,,,,Investment,Taganskoe,7500000
39,17.0,13.0,,,,,,,Investment,Nekrasovka,1030000
42,19.0,9.0,,,,,,,Investment,Juzhnoe Butovo,1100000
41,27.0,7.0,,,,,,,Investment,Ljublino,4700000
34,19.0,4.0,,,,,,,Investment,Nagatinskij Zaton,5000000
44,27.0,9.0,,,,,,,Investment,Chertanovo Central'noe,6090000
41,21.0,9.0,,,,,,,Investment,Vyhino-Zhulebino,5360000
52,30.0,9.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,1000000
38,23.0,4.0,,,,,,,Investment,Presnenskoe,7500000
38,19.0,16.0,,,,,,,Investment,Taganskoe,1000000
52,30.0,9.0,,,,,,,Investment,Perovo,9000000
48,10.0,9.0,,,,,,,Investment,Mar'ino,2000000
44,28.0,3.0,,,,,,,Investment,Jasenevo,6350000
30,17.0,6.0,,,,,,,Investment,Vojkovskoe,5400000
60,33.0,11.0,,,,,,,Investment,Krjukovo,6000000
50,34.0,6.0,,,,,,,Investment,Veshnjaki,6400000
43,19.0,10.0,,,,,,,Investment,Birjulevo Vostochnoe,5500000
54,32.0,3.0,,,,,,,Investment,Novo-Peredelkino,7000000
39,21.0,3.0,,,,,,,Investment,Ivanovskoe,3100000
76,45.0,4.0,,,,,,,Investment,Krylatskoe,5000000
45,29.0,2.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,6170000
38,21.0,2.0,,,,,,,Investment,Rjazanskij,5500000
60,34.0,3.0,,,,,,,Investment,Lefortovo,7400000
38,20.0,3.0,,,,,,,Investment,Dmitrovskoe,990000
38,18.0,3.0,,,,,,,Investment,Kosino-Uhtomskoe,4930000
75,45.0,12.0,,,,,,,Investment,Cheremushki,14000000
57,42.0,7.0,,,,,,,Investment,Sviblovo,8600000
35,14.0,2.0,,,,,,,Investment,Prospekt Vernadskogo,5750000
34,19.0,10.0,,,,,,,Investment,Ochakovo-Matveevskoe,5400000
41,26.0,2.0,,,,,,,Investment,Kuz'minki,5425000
43,29.0,5.0,,,,,,,Investment,Koptevo,5450000
44,20.0,8.0,,,,,,,Investment,Pechatniki,6200000
52,30.0,8.0,,,,,,,Investment,Gol'janovo,7400000
39,20.0,11.0,,,,,,,Investment,Kapotnja,4300000
30,17.0,4.0,,,,,,,Investment,Alekseevskoe,5000000
45,30.0,2.0,,,,,,,Investment,Kuz'minki,4000000
102,66.0,4.0,,,,,,,Investment,Ajeroport,17300000
36,22.0,5.0,,,,,,,Investment,Caricyno,5200000
99,77.0,8.0,,,,,,,Investment,Kurkino,6500000
44,29.0,5.0,,,,,,,Investment,Babushkinskoe,5300000
32,18.0,6.0,,,,,,,Investment,Rjazanskij,5200000
38,21.0,2.0,,,,,,,Investment,Severnoe Butovo,4950000
37,18.0,4.0,,,,,,,Investment,Severnoe Butovo,5400000
32,18.0,3.0,,,,,,,Investment,Chertanovo Juzhnoe,4700000
39,20.0,2.0,,,,,,,Investment,Krasnosel'skoe,7200000
41,18.0,20.0,,,,,,,Investment,Kosino-Uhtomskoe,1600000
38,19.0,7.0,,,,,,,Investment,Mar'ino,5750000
39,20.0,1.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,4700000
37,22.0,5.0,,,,,,,Investment,Kotlovka,6150000
38,20.0,2.0,,,,,,,Investment,Strogino,2000000
38,22.0,3.0,,,,,,,Investment,Kon'kovo,6579000
50,30.0,1.0,,,,,,,Investment,Zapadnoe Degunino,6225000
144,68.0,1.0,,,,,,,Investment,Kurkino,5817420
80,46.0,3.0,,,,,,,Investment,Severnoe Butovo,13000000
83,83.0,18.0,,,,,,,OwnerOccupier,Bogorodskoe,11380040
33,32.0,7.0,,,,,,,Investment,Ivanovskoe,4700000
34,19.0,8.0,,,,,,,Investment,Pechatniki,4500000
44,28.0,5.0,,,,,,,Investment,Pechatniki,5800000
40,22.0,1.0,,,,,,,Investment,Danilovskoe,3000000
41,20.0,10.0,,,,,,,Investment,Ljublino,4650000
49,27.0,4.0,,,,,,,Investment,Horoshevskoe,8800000
43,29.0,1.0,,,,,,,Investment,Nagornoe,5220000
31,19.0,4.0,,,,,,,Investment,Nagornoe,4650000
44,27.0,5.0,,,,,,,Investment,Horoshevo-Mnevniki,7100000
39,20.0,4.0,,,,,,,Investment,Mar'ino,5550000
20,12.0,2.0,,,,,,,Investment,Nagornoe,4000000
37,19.0,1.0,,,,,,,Investment,Kosino-Uhtomskoe,4430000
75,48.0,10.0,,,,,,,Investment,Horoshevskoe,1115000
33,20.0,,,,,,,,Investment,Novogireevo,1000000
44,27.0,9.0,,,,,,,Investment,Otradnoe,6150000
44,28.0,6.0,,,,,,,Investment,Nagatinskij Zaton,7400000
154,101.0,16.0,,,,,,,Investment,Kuncevo,23300000
43,28.0,5.0,,,,,,,Investment,Ajeroport,8750000
32,18.0,3.0,,,,,,,Investment,Zjuzino,5200000
36,22.0,1.0,,,,,,,Investment,Kuz'minki,1000000
38,20.0,3.0,,,,,,,Investment,Kuz'minki,5500000
54,28.0,10.0,,,,,,,Investment,Beskudnikovskoe,1000000
30,18.0,2.0,,,,,,,Investment,Koptevo,4650000
45,28.0,2.0,,,,,,,Investment,Preobrazhenskoe,7150000
40,27.0,2.0,,,,,,,Investment,Nagornoe,5850000
77,47.0,9.0,,,,,,,Investment,Krjukovo,8700000
55,34.0,5.0,,,,,,,Investment,Izmajlovo,8000000
77,47.0,17.0,,,,,,,Investment,Ostankinskoe,6000000
35,19.0,11.0,,,,,,,Investment,Kuncevo,6000000
38,23.0,6.0,,,,,,,Investment,Severnoe Medvedkovo,4118916
79,47.0,6.0,,,,,,,Investment,Danilovskoe,10600000
46,30.0,5.0,,,,,,,Investment,Chertanovo Central'noe,2000000
38,19.0,5.0,,,,,,,Investment,Tverskoe,6300000
38,38.0,8.0,,,,,,,Investment,Severnoe Izmajlovo,6100000
36,35.0,7.0,,,,,,,Investment,Rjazanskij,5300000
56,55.0,7.0,,,,,,,Investment,Sokol,3000000
48,31.0,4.0,,,,,,,Investment,Ochakovo-Matveevskoe,1000000
55,18.0,5.0,,,,,,,Investment,Shhukino,1000000
34,19.0,6.0,,,,,,,Investment,Horoshevskoe,6400000
33,18.0,1.0,,,,,,,Investment,Severnoe Izmajlovo,4400000
50,32.0,9.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,5870000
51,30.0,4.0,,,,,,,Investment,Pechatniki,990000
43,26.0,2.0,,,,,,,Investment,Babushkinskoe,6300000
46,28.0,8.0,,,,,,,Investment,Severnoe Izmajlovo,5800000
74,45.0,12.0,,,,,,,Investment,Chertanovo Severnoe,12500000
49,33.0,8.0,,,,,,,Investment,Jasenevo,7500000
74,45.0,24.0,,,,,,,Investment,Otradnoe,7245900
71,41.0,2.0,,,,,,,Investment,Tverskoe,20500000
41,21.0,10.0,,,,,,,Investment,Ivanovskoe,2000000
45,28.0,8.0,,,,,,,Investment,Ochakovo-Matveevskoe,6500000
58,42.0,8.0,,,,,,,Investment,Preobrazhenskoe,2000000
45,29.0,3.0,,,,,,,Investment,Severnoe Izmajlovo,2000000
38,23.0,3.0,,,,,,,Investment,Losinoostrovskoe,5800000
72,46.0,4.0,,,,,,,Investment,Preobrazhenskoe,2200000
61,38.0,5.0,,,,,,,Investment,Novo-Peredelkino,7538000
44,28.0,1.0,,,,,,,Investment,Perovo,5100000
42,27.0,3.0,,,,,,,Investment,Akademicheskoe,8750000
54,28.0,3.0,,,,,,,Investment,Staroe Krjukovo,5928000
47,30.0,12.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,6400000
50,29.0,7.0,,,,,,,Investment,Kosino-Uhtomskoe,6500000
35,20.0,8.0,,,,,,,Investment,Butyrskoe,5300000
36,19.0,15.0,,,,,,,Investment,Perovo,6000000
34,14.0,5.0,,,,,,,Investment,Krjukovo,3750000
37,21.0,3.0,,,,,,,Investment,Rjazanskij,5600000
32,18.0,9.0,,,,,,,Investment,Losinoostrovskoe,4600000
76,43.0,7.0,,,,,,,Investment,Matushkino,7950000
54,32.0,11.0,,,,,,,Investment,Novo-Peredelkino,5156678
52,30.0,9.0,,,,,,,Investment,Mar'ino,990000
52,30.0,2.0,,,,,,,Investment,Lianozovo,6500000
80,43.0,14.0,,,,,,,Investment,Mitino,5216843
75,51.0,2.0,,,,,,,Investment,Sokol,10500000
27,12.0,1.0,,,,,,,Investment,Kon'kovo,900000
38,20.0,12.0,,,,,,,Investment,Babushkinskoe,5500000
39,18.0,23.0,,,,,,,Investment,Fili Davydkovo,7500000
37,19.0,7.0,,,,,,,Investment,Troparevo-Nikulino,8400000
50,33.0,5.0,,,,,,,Investment,Danilovskoe,9150000
38,20.0,14.0,,,,,,,Investment,Severnoe Butovo,5700000
57,33.0,3.0,,,,,,,Investment,Mitino,8500000
40,20.0,9.0,,,,,,,Investment,Gol'janovo,1000000
35,20.0,1.0,,,,,,,Investment,Gol'janovo,4650000
44,27.0,8.0,,,,,,,Investment,Gol'janovo,1000000
99,63.0,16.0,,,,,,,Investment,Perovo,11500000
50,29.0,1.0,,,,,,,Investment,Kapotnja,5000000
76,44.0,10.0,,,,,,,Investment,Horoshevo-Mnevniki,700000
72,49.0,5.0,,,,,,,Investment,Koptevo,1000000
63,45.0,2.0,,,,,,,Investment,Bibirevo,7600000
38,19.0,19.0,,,,,,,Investment,Krylatskoe,7200000
39,20.0,10.0,,,,,,,Investment,Severnoe Butovo,5500000
31,20.0,1.0,,,,,,,Investment,Severnoe Izmajlovo,4500000
35,19.0,3.0,,,,,,,Investment,Horoshevo-Mnevniki,1000000
58,34.0,2.0,,,,,,,Investment,Juzhnoe Butovo,8300000
63,34.0,2.0,,,,,,,Investment,Sokolinaja Gora,10000000
54,36.0,1.0,,,,,,,Investment,Ivanovskoe,999000
28,17.0,4.0,,,,,,,Investment,Pokrovskoe Streshnevo,1000000
34,19.0,8.0,,,,,,,Investment,Ljublino,5250000
31,19.0,5.0,,,,,,,Investment,Metrogorodok,4300000
80,45.0,22.0,,,,,,,Investment,Losinoostrovskoe,11500000
76,44.0,22.0,,,,,,,Investment,Severnoe Tushino,11413900
38,20.0,7.0,,,,,,,Investment,Mar'ino,5700000
30,18.0,1.0,,,,,,,Investment,Perovo,4200000
53,30.0,7.0,,,,,,,Investment,Lianozovo,8000000
39,18.0,9.0,,,,,,,Investment,Izmajlovo,6730000
36,19.0,1.0,,,,,,,Investment,Severnoe Butovo,4700000
72,43.0,11.0,,,,,,,Investment,Krjukovo,1000000
36,18.0,7.0,,,,,,,Investment,Bogorodskoe,1000000
46,28.0,5.0,,,,,,,Investment,Hovrino,5900000
76,44.0,,,,,,,,Investment,Juzhnoe Butovo,9300000
38,19.0,6.0,,,,,,,Investment,Chertanovo Juzhnoe,5200000
38,20.0,2.0,,,,,,,Investment,Strogino,5900000
43,27.0,2.0,,,,,,,Investment,Kuncevo,5650000
37,19.0,2.0,,,,,,,Investment,Ochakovo-Matveevskoe,5500000
36,14.0,8.0,,,,,,,Investment,Mar'ino,5500000
75,44.0,5.0,,,,,,,Investment,Severnoe Medvedkovo,12100000
54,28.0,12.0,,,,,,,Investment,Alekseevskoe,11500000
37,19.0,6.0,,,,,,,Investment,Juzhnoe Medvedkovo,5500000
63,38.0,4.0,,,,,,,Investment,Juzhnoe Medvedkovo,7400000
40,17.0,8.0,,,,,,,Investment,Krjukovo,4500000
34,19.0,7.0,,,,,,,Investment,Veshnjaki,5150000
70,45.0,12.0,,,,,,,Investment,Veshnjaki,7000000
38,19.0,3.0,,,,,,,Investment,Krylatskoe,7200000
31,20.0,1.0,,,,,,,Investment,Perovo,3900000
34,21.0,4.0,,,,,,,Investment,Ivanovskoe,5100000
32,17.0,4.0,,,,,,,Investment,Matushkino,3700000
38,23.0,12.0,,,,,,,Investment,Tekstil'shhiki,3000000
44,28.0,1.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,2000000
79,44.0,3.0,,,,,,,Investment,Kosino-Uhtomskoe,5500000
55,26.0,2.0,,,,,,,Investment,Kosino-Uhtomskoe,5800000
37,23.0,2.0,,,,,,,Investment,Juzhnoportovoe,5700000
32,15.0,6.0,,,,,,,Investment,Hamovniki,10900000
43,27.0,7.0,,,,,,,Investment,Birjulevo Zapadnoe,5000000
59,40.0,4.0,,,,,,,Investment,Babushkinskoe,8600000
67,46.0,12.0,,,,,,,Investment,Losinoostrovskoe,10200000
37,22.0,4.0,,,,,,,Investment,Bogorodskoe,5300000
55,37.0,4.0,,,,,,,Investment,Perovo,1000000
38,18.0,11.0,,,,,,,Investment,Kosino-Uhtomskoe,4900000
